Country,Healthy Life Expectancy,Generosity,GDP per Capita,Social Support,Happiness Score,Freedom,Perceptions of Corruption,Happiness Rank,year
Switzerland,0.94143,0.29678,1.39651,1.34951,7.587,0.66557,0.41978,1,2015
Iceland,0.94784,0.4363,1.30232,1.40223,7.561,0.62877,0.14145,2,2015
Denmark,0.87464,0.34139,1.32548,1.36058,7.527,0.64938,0.48357,3,2015
Norway,0.88521,0.34699,1.459,1.33095,7.522,0.66973,0.36503,4,2015
Canada,0.90563,0.45811,1.32629,1.32261,7.427,0.63297,0.32957,5,2015
Finland,0.88911,0.23351,1.29025,1.31826,7.406,0.64169,0.41372,6,2015
Netherlands,0.89284,0.4761,1.32944,1.28017,7.378,0.61576,0.31814,7,2015
Sweden,0.91087,0.36262,1.33171,1.28907,7.364,0.6598,0.43844,8,2015
New Zealand,0.90837,0.47501,1.25018,1.31967,7.286,0.63938,0.42922,9,2015
Australia,0.93156,0.43562,1.33358,1.30923,7.284,0.65124,0.35637,10,2015
Israel,0.91387,0.33172,1.22857,1.22393,7.278,0.41319,0.07785,11,2015
Costa Rica,0.86027,0.25497,0.95578,1.23788,7.226,0.63376,0.10583,12,2015
Austria,0.89042,0.33088,1.33723,1.29704,7.2,0.62433,0.18676,13,2015
Mexico,0.81444,0.14074,1.02054,0.91451,7.187,0.48181,0.21312,14,2015
United States,0.86179,0.40105,1.39451,1.24711,7.119,0.54604,0.1589,15,2015
Brazil,0.69702,0.14574,0.98124,1.23287,6.983,0.49049,0.17521,16,2015
Luxembourg,0.91894,0.28034,1.56391,1.21963,6.946,0.61583,0.37798,17,2015
Ireland,0.89533,0.45901,1.33596,1.36948,6.94,0.61777,0.28703,18,2015
Belgium,0.89667,0.2225,1.30782,1.28566,6.937,0.5845,0.2254,19,2015
United Arab Emirates,0.80925,0.26428,1.42727,1.12575,6.901,0.64157,0.38583,20,2015
United Kingdom,0.90943,0.51912,1.26637,1.28548,6.867,0.59625,0.32067,21,2015
